song_artists,uri,track_name,duration_ms,explicit,track_popularity,track_number,album_name,album_artist,album_release_date,genres,label,album_popularity,album_cover,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,song_lyrics,lyrics_page_views,cleaned_title,featured_artists
['Tee Grizzley'],spotify:track:10xZagq2KzFuoGXIv5ULcP,Connect,157262,True,37,5,Activated,Tee Grizzley,2018-05-11,,300 Entertainment,63,https://i.scdn.co/image/ab67616d00001e02d5785624d8bd5b5b98076541,0.0684,0.907,0.683,7.18e-06,5,0.0834,-8.079,1,0.349,89.983,4,0.342,,,,
"['Tee Grizzley', 'Moneybagg Yo']",spotify:track:3bjVlWfIZ9tYFW9EhxWyp6,Don't Even Trip (feat. Moneybagg Yo),256000,True,41,6,Activated,Tee Grizzley,2018-05-11,,300 Entertainment,63,https://i.scdn.co/image/ab67616d00001e02d5785624d8bd5b5b98076541,0.00881,0.631,0.527,1.06e-05,11,0.221,-7.426,0,0.376,184.033,4,0.299,"Don’t Even Trip Lyrics
ChopsquadDJ on the beat so it's a banger

All bark, no bite, that's what these niggas is, hol' up
Put my whole neck on ice, that's what my jeweler did
Bust down paw, bust down bear, all of my charms
Patek on my left, AP on my right, all on my arms
Miami too hot, tell the plug get 'em to Boca Raton
Just got off parole, I hit the dope once, I choked up a lung
Take a nigga bitch, get deep in (deep in), Instagram hoes wanna meet him (wanna meet me)
If she ain't talkin' 'bout eatin' him (bitch eat it), leave that bitch in the DM
Just had a meeting with Diddy (Diddy), Durkio took me to Izzy
I go to sleep in Y3 (sleep), used to mix Nike with Dickies (facts)
Came a long way from my city (Detroit), I made it outta them trenches (them trenches)
Used to wear my uncle's hoodies and fitteds, even though I couldn't fit 'em
Now I'm at Lou's Deli with the Glock out, lookin' for niggas, they not out
I'm killin' them niggas, they pop out, big chop stick get knocked down

That's a hunnid bands, two hunnid bands
Shit won't fall (shit won't fall), shit won't spill (shit won't spill)
Three hunnid bands, four hunnid bands
Half a M (half a mil), no advance
Don't even trip (don't even trip), don't even trip
Look at my fit, that's too much drip, don't even trip (that's too much drip)
I only hit once, that's still your bitch, don't even trip (still your bitch)
I got that stick, I'm surgical with it, don't even trip
Don't even trip (don't even trip in this bitch), don't even trip
She just wanna flick, that's still your bitch (still your bitch)
Don't even trip (don't even trip in this bitch), don't even trip
I got that stick, nigga don't even flinch (don't even flinch in this bitch)

My ice like Klondike (What the hoe doin'?), got your bitch shiverin'
AP, that's a suicide slush (all flavors), wet floor, slippery
I got the bag like Migos and Gucci (I get the bag)
She rock a bag Emilio Pucci (Pucci)
Don't even trip, you know where she at
I just want the top, I'll Uber her back
This big ol' clip in the way of my drip
Diamonds they hard, I busted my lip
If I feel disrespected, this Draco gon' rip
I got the foreigns and guns like TIP
Ye, two hunnid grand (what it do?), broke my rubber band (damn what else?)
Half a ticket cash, it won't fold, won't bend (what my wrist cost?)
Two shows, one night, that's a eighty piece (Jerry Rice)
Four sprites, two pints, I pour eight a piece
Strapped up to the teeth, my enemies prayin' for peace
My gorillas get busy, and you know I'm from Memphis I'm fuckin' with Grizzley
Don't even trip (don't even trip), don't even trip
Look at my fit, that's too much drip, don't even trip (that's too much drip)
I only hit once, that's still your bitch, don't even trip (still your bitch)
I got that stick, I'm surgical with it, don't even trip
Don't even trip (don't even trip in this bitch), don't even trip
She just wanna flip, that's still your bitch (still your bitch)
Don't even trip (don't even trip in this bitch), don't even trip
I got that stick, nigga don't even flinch (don't even flinch in this bitch)

Don't even trip when you see how that water be drippin' all over the Prezzy (splash, splash)
Wait, let me talk to the ladies, gotta put this in perspective
Don't fuck with me if you expectin' for me to keep callin' and textin' (textin' and callin')
Fuck her then go for her bestie, got that bitch callin' me messy
Necklace, heavy, pointers, carats
She seen it, starin', got caught, embarrassed
Location, send it, go get her, mansion
No panties, erection, naked, hol' up, catch it
Slide the Wraith up and down the lines when the sun outside
When I'm in your town I need 40 thousand just to come outside
Neck gon' glow, wrist gon' dance, two hunnid bands, what's my advance?
I blew that shit in a month and a half (facts), made it right back and I blew it again (facts)
If I want to I can do it again, run up on me, I'ma shoot at his head
Shoot at his face, I got that Drac, beat my case, free Tay-K
Me and Lil D body the beast, MAC in the cut, put you to sleep
Think shit sweet, you gon' bleed, bitch don't even trip
That's a hunnid bands, two hunnid bands
Shit won't fall (shit won't fall), shit won't spill (shit won't spill)
Three hunnid bands, four hunnid bands
Half a M (half a mil), no advance

Don't even trip (don't even trip), don't even trip
Look at my fit, that's too much drip, don't even trip (that's too much drip)
I only hit once, that's still your bitch, don't even trip (still your bitch)
I got that stick, I'm surgical with it, don't even trip
Don't even trip (don't even trip in this bitch), don't even trip
She just wanna flip, that's still your bitch (still your bitch)
Don't even trip (don't even trip in this bitch), don't even trip
I got that stick, nigga don't even flinch (don't even flinch in this bitch)Embed",39170.0,Don’t Even Trip,['Moneybagg Yo']
"['Tee Grizzley', 'Chris Brown']",spotify:track:3jGYpYY6jm48GArqKDnuwG,Fuck It Off (feat. Chris Brown),147600,True,62,7,Activated,Tee Grizzley,2018-05-11,,300 Entertainment,63,https://i.scdn.co/image/ab67616d00001e02d5785624d8bd5b5b98076541,0.1,0.807,0.673,5.86e-05,1,0.116,-7.861,1,0.285,100.098,4,0.193,"Fuck It Off Lyrics
Helluva made this beat, baby

Who you think you finna play with?
Who you think you finna run your mouth to and won't say shit?
I'm outchea when it's cold, leave you out there
Them bullets hot, think not, get your mouth chipped
Hella nigga's talk shit but they stand still
Let's take a trip, duct tape, how the van feel?
Hunnid thousand dollar Cartiers, I'ma change shit
Keep playin' with Liu Kang, I'ma kick it to your main bitch
And I've been fuckin' hoes on my bae shit
Come to the crib, I tell 'em go to the spaceship
Red pill, blue pill, we in The Matrix
Take it to the face, better do what I say, bitch
He make it outta here then he a winner
If a nigga try to run then we pull up in Sprinters
We get to bustin' at your bucket, fuck it hit 'cho liver
End of discussion, it's nothing, I eat you pussies for dinner
I got no time, for fake ones, killers on the west side, with them real guns
And if you try to wave the white flag, we gon' still come
""Where you at? Here, nigga!"" All this pussy I'ma drill somethin'
Why they hate to see a real nigga make it?
I done made a lot of change, now my people's changin'
By myself, I don't need no witness
Can't thank nobody but the Lord 'cause I'm gettin' it
I keep my head up and middle finger to the sky
And living every fuckin' day like it's Mardi Gras
I'ma finesse this shit, win, lose, or draw
You think I work this hard to fuck it off?

Once again, I gotta remind these niggas
Balenciaga, 'member when I couldn't buy these, nigga
Called 'em bricks birds 'cause we really fly these bitches
Tell your mans I know I'm lit, but don't eye me nigga (oh, woah)
I'm solvin' every single problem with a tool
Supersoak a nigga like he jumpin' off the pool
If the feds hit the mansion, we gon' make it to the news
Choppa lift a nigga up, I bet he make it to the moon (pow)
You can tell me and Breezy at the top
They want us to fail, hopin' that we fall but we not
Don't feel bad for what I did to them nigga's block
Can't say what happened, just know I had to get rid of the Glock (oh)
Remember my lick days, couldn't pull a bitch days (oh)
Now I ain't trippin' on none of the bills, that shit paid (ooh woah)
Nigga tried to fake beef with a nigga (that's just hate)
Sneak dissin' me, see me out, jump on my dick, these niggas lame
(Oh, pussy nigga) aye, nigga's terrible, who raised y'all?
Nigga's leeches I can't feed 'em, I can't baby y'all (you need to fuck off)
I'm giving headshots, I ain't 'bout to fade y'all
Bitch you ain't fuckin', bye Felicia, I can't play with y'all (woo)
Why they hate to see a real nigga make it?
I done made a lot of change, now my people's changin'
By myself, I don't need no witness
Can't thank nobody but the Lord 'cause I'm gettin' it
I keep my head up and middle finger to the sky
And living every fuckin' day like it's Mardi Gras
I'ma finesse this shit, win, lose, or draw
You think I work this hard to fuck it off?6Embed",71005.0,Fuck It Off,['Chris Brown']
['Tee Grizzley'],spotify:track:2ypPeLWjKiIu8ZVqbERILc,Colors,177335,True,48,8,Activated,Tee Grizzley,2018-05-11,,300 Entertainment,63,https://i.scdn.co/image/ab67616d00001e02d5785624d8bd5b5b98076541,0.264,0.921,0.586,0.0,8,0.119,-7.77,1,0.406,96.042,4,0.657,,,,
['Tee Grizzley'],spotify:track:0SzzW8l0YtRJjpKT6ie6NI,Bag,189263,True,42,9,Activated,Tee Grizzley,2018-05-11,,300 Entertainment,63,https://i.scdn.co/image/ab67616d00001e02d5785624d8bd5b5b98076541,0.0966,0.875,0.878,0.0,8,0.333,-5.358,1,0.179,100.042,4,0.381,,,,
"['Tee Grizzley', 'Jeezy']",spotify:track:7tcnx3A6AVRQ3NYUr6AZjY,Time (feat. Jeezy),219428,True,37,10,Activated,Tee Grizzley,2018-05-11,,300 Entertainment,63,https://i.scdn.co/image/ab67616d00001e02d5785624d8bd5b5b98076541,0.0418,0.706,0.745,0.0,7,0.139,-6.851,0,0.195,162.012,4,0.619,,,,
['Tee Grizzley'],spotify:track:0dY2cWiCvcBs6lW5UOAOIB,Too Lit,195918,True,45,11,Activated,Tee Grizzley,2018-05-11,,300 Entertainment,63,https://i.scdn.co/image/ab67616d00001e02d5785624d8bd5b5b98076541,0.312,0.826,0.657,2.22e-06,2,0.0373,-8.277,1,0.274,99.985,4,0.334,"Too Lit Lyrics
While everybody talkin' down, I'm up, bitch
I ain't goin' broke, I'm stuck rich (oh, I'm stuck)
Call your bitch, like, pull up and do that one shit (pull up)
Talk to her while I fuck, make her cum quick (you like that)
AP, new freezer, I'm too lit (I'm lit)
All my haters need a hospital, they too sick (them niggas too sick)
I put my chains in the freezer, they too lit (they icy)
Somebody get them boys a hospital, they too sick

If a nigga talk crazy, hit that kill switch (go get it)
How you hate a nigga that do all real shit (real nigga)
My lil' brother comin' home to a mil' ticket (welcome home)
The people get me in that room, I ain't gon' spill shit
All the real bitches think I'm heaven sent (heaven sent)
My lil neph' growin' up, he turned 11 quick
But he can't drink none of this pop because it's medicine
I had to get rid of my .40, that bitch evidence
How Tee a gangsta? He stole laptops
After First Day Out got down, he ain't gon' be back hot
Don't think I'm gangsta when you see, test it, watch this MAC pop
In that drop-head, tell my haters suck a fat cock
I ain't good at sellin' drugs, I done tried it (I tried it)
I'm too lazy for scales, bitch, I tried it (I done tried it)
I got rich off tellin' stories how my life went (real shit)
Bring the loyalty, one hundred, bitch, we locked in (real shit)
In that cell musty, couldn't believe myself (God damn)
Lawyer wasn't doin' shit, I had to free myself (nigga fired him)
Pops left the world earlier, had to teach myself (RIP)
Niggas out here lookin' crazy, they should see theyself (niggas crazy)
I know bro would give me half if I needed it
Bro cool but that boy'll turn demon quick
'Cause, when it's beef, make sure you don't sleep on that (What up Beau)
My dawg tried to line me up, he think I'm sleep on that
While you niggas talkin' down, I'm up, bitch (bitch I'm up)
I ain't goin' back broke, I'm stuck rich (hey, we stuck)
He tried to hide her but I still hit that dumb bitch (dumb bitch)
One night and then I'm done with that punk bitch (bitch get outta here)
Only one of me but ho, I'm doublin'
I put his mans in the morgue, I know he double sick
Ask about me in the clubs, nigga, I double tip
I'm runnin' shit, whoever don't like it, suck a dick (big money)
Bitch, when you see a boss keep twerkin' (keep twerkin')
Keep doin' that and you gon' be my next purchase (yeah)
60 racks to NZ for this choker, I can merch it (yeah)
Ass so soft, titties right, you perfect (yeah)
Pussy so wet it make waves, we surfin' (hol' up)
Nigga in your DM three times, he thirsty (thirsty)
Used to be broke, catchin' buses, I was bummin'
Now when bitches see me out they like, ""It's a husband"" (it's a husband)
Girl don't thank for that cash, it's just money (it's just money)
Don't even thank me for that bag, it ain't nothin' (it ain't nothin')
He don't buy bags, who he foolin'?
That nigga bag little, he ain't tryna blow through it (haha)
You got a table full of niggas but it's one plate (it's only one plate?)
I don't even fuck with Unk and even old Ye' (hoe ass nigga)
This old nigga told me, boy, you should love hate
'Cause nigga you wouldn't be poppin' if they wasn't hatin'
Hold up, when I was broke I never blamed God (thank you Lord)
That's why every back end, I thank God (God I love you)
They said I wouldn't make it but they ain't God (they just talkin')
That's why I say, ""Ain't it a blessing,"" gotta claim God (Ain't it a blessing)
And while you niggas talkin' down, I'm up, bitch
I ain't goin' broke, I'm stuck rich
Call your bitch, like, pull up and do that one shit (bitch pull up)
Talk to her while I fuck, make her cum quick
AP, new freezer, I'm too lit (lit)
All my haters need a hospital, they too sick (sick)
I put my chains in the freezer, they too lit (them bitches lit)
I put his mans in a hospital, he too sick (them niggas sick)
While you niggas talkin' down, I'm up, bitch (yeah we up)
I ain't goin' broke, I'm stuck rich (yeah we stuck)
Call your bitch, like, pull up and do that one shit (hey pull up)
Talk to her while I fuck, make her cum quick
AP, new freezer, I'm too lit (too lit)
All my haters need a hospital, they too sick (too sick)
Put my chains in the freezer, they too lit (they too lit)
I put his mans in a hospital, he too sick (they too sick)1Embed",21746.0,Too Lit,
"['Tee Grizzley', 'Lil Yachty']",spotify:track:3N4OzMI84d1hqcobgue6uT,Light (feat. Lil Yachty),276164,True,45,12,Activated,Tee Grizzley,2018-05-11,,300 Entertainment,63,https://i.scdn.co/image/ab67616d00001e02d5785624d8bd5b5b98076541,0.0728,0.801,0.578,0.0,1,0.185,-7.148,1,0.201,100.032,4,0.126,,,,
['Tee Grizzley'],spotify:track:1x8vRUoPIy3YPX2mTvECfb,Low,172584,True,34,13,Activated,Tee Grizzley,2018-05-11,,300 Entertainment,63,https://i.scdn.co/image/ab67616d00001e02d5785624d8bd5b5b98076541,0.00372,0.756,0.637,0.000455,9,0.325,-6.211,1,0.251,149.989,4,0.311,,,,
['Tee Grizzley'],spotify:track:4rMai62VHWxRRxvIaCrTFz,Robbin,217720,True,35,14,Activated,Tee Grizzley,2018-05-11,,300 Entertainment,63,https://i.scdn.co/image/ab67616d00001e02d5785624d8bd5b5b98076541,0.052,0.785,0.616,0.0,1,0.087,-7.296,1,0.0724,148.038,4,0.291,,,,
"['Tee Grizzley', 'Lil Durk']",spotify:track:4hJ2Hu7an2vnlfkmyyjg86,Bloodas 2 Interlude (feat. Lil Durk),205531,True,46,15,Activated,Tee Grizzley,2018-05-11,,300 Entertainment,63,https://i.scdn.co/image/ab67616d00001e02d5785624d8bd5b5b98076541,0.0765,0.664,0.583,0.0,1,0.318,-6.374,0,0.222,160.115,4,0.24,"Bloodas 2 Interlude Lyrics
I'm just curious, niggas can't be serious
Woke up like, ""What year is it?"" Niggas on their period
My change done gave me somethin', it ain't no curin' it
I seen Durk, I heard up close, bitch ain't no fear in it

My name superior
Bro and 'em be trappin'
They throwin' a couple hundreds just so you can deliver it
You said if he robbed you that you was gon' kill him
I seen him today, I'm just curious
I told her don't put me on child support, I'ma give extra but she wasn't hearin' it
I take you around the killer, the robbers, the shooters just for the experience

Don't try to dodge you, make up yo bed, you lay in it, niggas ain't hearin' it
I get yo bitch in the Bentley, she gon' see some shit she never experienced
I am a Captain, I get you crunched and put in a box, no cereal
This automatic hit that whip, nothing gon' help niggas short of a miracle
Tryna to make a million off a Bloodas tour but his P.O. not clearin' him
Tryna make a M and M but he couldn't do it and that shit was killin' him
And I grew up in the ghetto, I ain't never hung around gentlemen
Bought the drugs, take the drugs, niggas in the hood ain't really tryna get it
You would be surprised what your brothers do (Uh)
Don't be surprised for this Bloodas 2 (Uh)
Couldn't feel my face when I popped that ecstasy
Couldn't feel my face off Percs, I just took 3

And my lil' bro could've died next to me (Ayy)
But I shot first, get him a stretcher please (Ayy)
Them chopsticks got his body ten degrees (Ayy)
Someone should've told him we part Japanese (Ayy)
Bro by the mill, he tryna catch the weed (Ayy)
This bitch tryna get me to invest in weave (Ayy)
I told her, ""Yes,"" just to finesse that freak (Ayy)
After I fuck, I'm playin' hide and go seek

I done been through so much shit in my life
I be askin', ""When the pain stop?""
Used to ride to school, Mongoose, now in a Range drop (Skrrt-skrrt)
Is you is who you say you is?
You can't be who you is, you play with Grizz'
You play with Durkio, you pick out your box
I'm good on my block, good on O-Block (Ayy)
They in they feelings 'cause I smoke on opps (Ayy)
I hope they know 100 shots ain’t gon' stop
I just been tryna save it, they keep on makin' it hard
They keep on makin' us jewelry, they keep on makin' these cars
That pump hit him, it's gon' lift him up and that nigga gon' make it to Mars
On track to confirm that shipment should make it tomorrow

50 to 100 stacks on yo head, I bet you won't make it tomorrow
Let me know your crib all night, no sleep, they drinkin' Starbucks
I'm talkin' boss life, you say my name one time, I'ma tell 'em I fucked your boss wife
I nut on her cheek, she wipe her face off with my Off-White
I forgave you but that love made me (love made me)
I popped some ecstasy that Thug gave me
Shout-out that new opp pack, my brothers made it
Don't play with them boys 'cause they over crazyEmbed",26968.0,Bloodas 2 Interlude,['Lil Durk']
['Tee Grizzley'],spotify:track:1OnMrnROO36JhxxBBUeam2,Keys To The Street,199180,True,34,16,Activated,Tee Grizzley,2018-05-11,,300 Entertainment,63,https://i.scdn.co/image/ab67616d00001e02d5785624d8bd5b5b98076541,0.0149,0.683,0.802,0.0,7,0.33,-5.804,1,0.0676,142.934,4,0.69,"Keys to the Street Lyrics
I got the keys to the streets (I do)
I got the key to the D (my city, nigga)
Boonk got a lawyer from Cali
He say when he finished, he droppin' Philippe (that mixtape)
I went and blew out a Rollie, won't no nigga take it from me
Don't put your trust in these niggas or cuddle with bitches, bro, take it from me
Choppin' it up with big homie, he said don't try and outdo the city
Outdo niggas out of the city that's in the industry, you outgrew the city
I signed a deal with 300, now the hate comin' out of you, nigga
But it ain't no problem, my nigga, 'cause they choppers will fly through you, nigga
Broke before I got locked up, I was fucked up when I got out of prison
I ain't heard half of these niggas or bitches and don't 'member gettin' a dollar from niggas
Chillin', I'm up and I'm minding my business
I ain't tryna holla at nigga, I be a silent nigga
Favorite part of my body my pockets, my nigga

I ain't gon' play with you niggas (play with you)
I ain't gon' play with you niggas (play with you)
I ain't gon' play with you niggas
I ain't gon' play with you niggas
I know the niggas that solid
You know the niggas that's snitchin'
You know the niggas that's dyin'
I know the niggas that did it
I ain't gon' play with you niggas (play with you)
I ain't gon' play with you niggas (play with you)
I ain't gon' play with you niggas
I ain't gon' play with you niggas
It ain't no point in you hiding
I want you, I'ma come get you
Them niggas you got with you pussy
These niggas I got with me with it
Came home like I ain't even miss none
I ain't even miss none
Tried to listen to these niggas song, they ain't sayin' shit, I can't hear none
Alright then, make it easy for me, five million in a month
Cold bitch say I'm well-spoken, spit a thousand bars, I ain't lie once
Last night I saw 50, it all belong to me
After I hit your bitch, can you come pick her up, I can't keep her with me
These niggas that's with me, they go RiRi for me
They'll work-work-work-work-work them choppers 'til I tell them to cease
Lawyer wanted 10 just to show his face
Before I had a Snapchat, I had an OTIS page
Before I had a Periscope, I had a JPay
Before this well done steak it was a state tray
First time I shot a gun, it was at a nigga
High School when I saw my first 10 bands
Understand, you ain't in the same bracket with us
My lil nigga 18, he the brick man
Bitch, I'm in beast-mode, tell 'em free Po, you ain't tryna deep throat, ho, what you speak for
If these niggas animals, I'm finna make a mink coat
Havin' people lookin' for him, like they Nemo
Won't tuck my ice, I ain't scared of a nigga
I'll put a hole so big in nigga
Watch so cold, like a fridge on a nigga
I do everything but depend on a nigga
Don't play with me nigga
I ain't gon' play with you niggas
I ain't gon' play with you niggas
I ain't gon' play with you niggas
You know the niggas that's dyin'
I know the niggas that did it
I know the niggas that's solid
You know the niggas that's snitchin'
I ain't gon' play with you niggas
I ain't gon' play with you nigga
I ain't gon' play with you nigga
I ain't gon' play with you nigga
It ain't no point in you hiding
I want you, I'ma come get you
Them niggas you got with you pussy
These niggas I got with me with it

I know the niggas that's shootin'
I know the niggas that's killin'
You ain't gon' take my nigga chain
My niggas'll come take your spirit
You can't look me in my eye
(mumbling)
I'ma come handle my business
You know the niggas that's dyin'
All of my niggas still livin'
All of your niggas be droppin'
All of my niggas go get it1Embed",5347.0,Keys to the Street,
"['Tee Grizzley', 'YFN Lucci']",spotify:track:0iMBXXUmwEbVqMOaveDkaA,I Remember (feat. YFN Lucci),277588,True,41,17,Activated,Tee Grizzley,2018-05-11,,300 Entertainment,63,https://i.scdn.co/image/ab67616d00001e02d5785624d8bd5b5b98076541,0.139,0.788,0.711,0.0,10,0.19,-7.211,0,0.24,92.015,4,0.413,"I Remember Lyrics
Aye, I look at 50 dollars like, it's still 50 dollars
I don't give a fuck how much money I got
Chopsquad
I remember my struggle so vividly, that every dollar still count to me, man
A lot of niggas be like 10 bands, oh that ain't shit, that's a 100 to me
Look, I remember that struggle vividly man, call me petty or whatever man
Chopsquad DJ on the beat so it's a banger

I remember sleepin' on the floor (on the floor) (yeah)
I remember being broke (bein' broke) (yeah)
I know if all this money go
I'm gon' look up like where everybody go? (everybody go?)
Yeah, I remember sleepin' on the floor
I lost everything but hope (lost everything but hope)
I know if all this money go
I'm gon' look up like where everybody go? (everybody go?)

Used to carry bottles to the store
Thinkin' to myself like I can't do this shit no more
I did 4 months in the hole
Thinkin' to myself like I cannot wait to go home
Stay strong, right or wrong, I'm gon' grind it, they like keep it up
We just wanna get money, they just wanna beef with us
It's guaranteed you gon' die one day but I'll speed it up
Police get behind the SRT, don't stop it, speed it up
Got no problem cuttin' day ones off, these niggas be fu
Everybody always talkin' 'bout what they would do
Nigga speak before they know the truth, these bitches too
You can be blood, I'm not goin' broke for you 'cause
I was sleepin' on the floor, yeah (on the floor)
I remember bein' broke (bein' broke)
I know if all this money go (if all this money go)
I'm gon' look up like where everybody go? (where everybody go?)
I remember sleeping on the floor (sleepin' on the floor)
I lost everything but hope (I lost everything but hope)
I know if all this money go (I know if all this money go)
I'm gon' look up like where everybody go? (where they go?)

Uh, I remember, I remember a whole lot of bad winters, yeah
I remember goin' juggin' before Christmas, yeah
I remember when I got my first pistol, yeah
I remember, sleepin' on the floor at 
I remember puttin' that money in my Timbs
I remember when they snatched up an L
They they got styrofoam, then Stan came home, the whole gang on
Ay that my dawg, that my dawg we shared the same bone
The same couch, the same house, even the same phone
The same .357 that got your man gone, that's on the zone
I wonder why the real don't live long
Sometimes I wonder who gon' be here if he gone
Sometimes I ponder, I got so much on my dome
I got so much in common, I can't even keep calm
Sticks with the drums, they don't want no problem
Niggas know how we come and yeah, I'm from the bottom
We was sleepin' on bunk, yeah end of road, that's a lot of humps
Yeah, can't forget where we came from
Yeah, I remember sleepin' on the floor
I remember being broke (being broke)
I know if all this money go (if all this money go)
I'm gon' look up like where everybody go? (where everybody go?)
I remember sleepin' on the floor (sleepin' on the floor)
I lost everything but hope (I lost everything but hope)
I know if all this money go (I know if all this money go)
I'm gon' look up like where everybody go? (where they go?)

I remember when me and Rell were sharin' clothes
Like when you wear my shit, don't post, I don't want nobody know
Real shit had my heart and soul
Probably don't know how much she used to love me, we slept on the floor
I remember back in middle school, we used to walk home
You hate what I said on 'Win' but I can't lie in my songs
Tell the truth on all my audio, keep it real until he call me home
Where the fuck did all my niggas go when I needed them around?
I hope she don't have no baby on me, that might break me down
They ain't visit me upstate, no, so they ain't gon' visit my grave, no but

I remember sleepin' on the floor (I was sleepin' on the floor)
I remember being broke (I remember being broke)
I know if all this money go (if all this money go)
I'm gon' look up like where everybody go? (where everybody go?)
I remember sleepin' on the floor (sleepin' on the floor)
I lost everything but hope (I lost everything but hope)
I know if all this money go (if all this money go)
I'm gon' look up like where everybody go (where did everybody go)
I remember sleepin' on the floor (sleepin' on the floor)
I remember being broke (I remember being broke)
I remember being broke (being broke)
Sleepin' on the floor (on the floor)
I remember being broke
If all this money go
Damn where everybody go?
Damn where everybody go?Embed",16075.0,I Remember,['YFN Lucci']
['Tee Grizzley'],spotify:track:5BtKT4YHCaV5CbCxelqhQs,On My Own,232727,True,35,18,Activated,Tee Grizzley,2018-05-11,,300 Entertainment,63,https://i.scdn.co/image/ab67616d00001e02d5785624d8bd5b5b98076541,0.165,0.739,0.668,0.0,8,0.22,-5.092,1,0.217,98.01,4,0.241,,,,
"['Tee Grizzley', 'Lil Durk']",spotify:track:0XEFerW6wjaMMhJ2EYvmfG,Bloodas,160000,True,42,1,Bloodas,Tee Grizzley,2017-12-08,,300 Entertainment,51,https://i.scdn.co/image/ab67616d00001e020b75f78c51d2cd01d211b2da,0.0397,0.687,0.694,0.0,10,0.104,-4.987,0,0.133,87.48,4,0.473,"Bloodas Lyrics
Hooo! (gang)
Hargh! (gang)

That's my motherfuckin' blooda (that's my motherfuckin' brother)
That's my motherfuckin' blooda (that's my motherfuckin' brother)
That's my motherfuckin' blooda (that's my motherfuckin' blooda)
That's my motherfuckin' blooda (that's my motherfuckin' blooda)
A lot of vultures, a lot of grizzlies (gang, brraat)
Alotta vultures, a lot of grizzlies (boom, do-do-do)
Alotta vultures, a lot of grizzlies (turn up, gang)
Alotta vultures, a lot of grizzlies (gang, brraat)
That's my motherfuckin' blooda (that's my motherfuckin' brother)
That's my motherfuckin' blooda (that's my motherfuckin' blooda)
That's my motherfuckin' blooda (that's my motherfuckin' blooda)
That's my motherfuckin' blooda (that's my motherfuckin' blooda)

My bloodas will take his dreads off with a headshot
Dead off association cause he ain't did none
Free Boona, cause he got jammed up and ain't sayin' nothin'
Even though I was on parole gotta keep it on me
These niggas think they so hard, pull they hoe card
Twin Glocks blow his toes off, knock his clothes off
Hundred racks in my Goyard, resting so long
Bitches, can't come in here unless they cut their phones off

Homie you fuck with Booka
Put that on Tooka
Rob who? I be with all the robbers and shooters
Bitch fuck yo' mood
My lil' shawty gon' (?)
If that .40 go rah
.45 must  go boom

Please don't, tryna play hard
Get your face spurred
Zo got 20 bodies, bitch it's a graveyard
Niggas playin' on that Instagram better log off
Use your head, AR pistol hit it, it's gon' fall off

Gun charge wish I got it dropped
Let them Ks off
So hard, had some dime bags look like eightballs
Put a bag, all on his head, he get paid off
Lay low, if he cut his dreads, knock his fade off
That's my motherfuckin' blooda (that's my motherfuckin' brother)
That's my motherfuckin' blooda (that's my motherfuckin' brother)
That's my motherfuckin' blooda (that's my motherfuckin' blooda)
That's my motherfuckin' blooda (that's my motherfuckin' blooda)
A lot of vultures, a lot of grizzlies (gang, brraat)
Alotta vultures, a lot of grizzlies (boom)
Alotta vultures, a lot of grizzlies (turn up, gang)
Alotta vultures, a lot of grizzlies
That's my motherfuckin' blooda (that's my motherfuckin' brother)
That's my motherfuckin' blooda (that's my motherfuckin' blooda)
That's my motherfuckin' blooda (that's my motherfuckin' blooda)
That's my motherfuckin' blooda (that's my motherfuckin' blooda)1Embed",30431.0,Bloodas,
